Dataset;ContrACII;HVACII;GDACII;ContrAC;HVAC;GDAC;ContrA;HVA;GDA;ContrI;HVI;GDI;Contr;HV;GD
0;0.2011;0.5567;0.0039;0.3125;0.557;0.0051;0.358;0.5576;0.0034;0.0651;0.5175;0.0192;0.0631;0.5175;0.0193
0;0.248;0.5565;0.0045;0.3545;0.5569;0.0053;0.3655;0.5579;0.0023;0.0158;0.5173;0.0181;0.0158;0.5173;0.0196
0;0.2462;0.557;0.0034;0.3221;0.5569;0.006;0.3666;0.5578;0.0033;0.0328;0.5174;0.019;0.0321;0.5174;0.0202
0;0.2652;0.5572;0.0039;0.368;0.5564;0.0048;0.2719;0.557;0.003;0.0483;0.5175;0.0192;0.0463;0.5175;0.0201
0;0.2049;0.5562;0.0034;0.3308;0.5567;0.0047;0.3859;0.5577;0.0031;0.0381;0.5173;0.0189;0.0401;0.5173;0.0191
0;0.2866;0.5568;0.0031;0.2568;0.5431;0.002;0.3468;0.5576;0.003;0.0542;0.5174;0.02;0.0554;0.5174;0.0191
0;0.2385;0.5565;0.0036;0.3599;0.5571;0.0052;0.334;0.5575;0.0026;0.034;0.5174;0.02;0.0334;0.5174;0.0194
0;0.2303;0.5566;0.0037;0.3379;0.5572;0.0054;0.3405;0.5579;0.0026;0.0455;0.5175;0.0181;0.0455;0.5175;0.0189
0;0.2374;0.5563;0.0033;0.3385;0.5575;0.0042;0.3568;0.5579;0.0042;0.0325;0.5174;0.019;0.0345;0.5174;0.0194
0;0.228;0.5565;0.0037;0.3308;0.5575;0.0048;0.3784;0.5576;0.0032;0.0313;0.5174;0.0183;0.0313;0.5174;0.0194
0;0.2379;0.5568;0.0043;0.3384;0.5573;0.0039;0.331;0.5579;0.0028;0.0462;0.5175;0.0192;0.0462;0.5175;0.0191
0;0.233;0.5563;0.0046;0.3215;0.5567;0.0038;0.3488;0.5574;0.0034;0.0472;0.5173;0.0192;0.0492;0.5173;0.0202
0;0.2335;0.5569;0.0041;0.3428;0.557;0.0043;0.3523;0.5576;0.0037;0.0359;0.5173;0.0189;0.0353;0.5173;0.0202
0;0.24;0.5564;0.0043;0.3558;0.5565;0.0054;0.3398;0.5574;0.0029;0.0321;0.5172;0.0186;0.0321;0.5172;0.0191
0;0.2347;0.5562;0.0033;0.3273;0.5565;0.0064;0.3617;0.5577;0.0035;0.0377;0.5174;0.0189;0.0384;0.5174;0.0191
