Dataset;ContrACII;HVACII;GDACII;ContrAC;HVAC;GDAC;ContrA;HVA;GDA;ContrI;HVI;GDI;Contr;HV;GD
0;0.2325;0.5583;0;0.3251;0.5491;0.0011;0.4213;0.5587;0;0.0143;0.5174;0.0027;0.0065;0.5174;0.0039
0;0.2609;0.5585;0;0.2344;0.5299;0.0007;0.4325;0.5589;0;0.0474;0.5175;0.0027;0.0245;0.5175;0.0038
0;0.2184;0.5583;0;0.3185;0.5535;0.0004;0.4126;0.5587;0;0.0325;0.5173;0.0027;0.0177;0.5173;0.0038
0;0.2384;0.5584;0;0.2952;0.5555;0.0002;0.4255;0.5589;0;0.0268;0.5175;0.0027;0.0137;0.5175;0.0039
0;0.3337;0.5586;0;0.3115;0.5488;0.001;0.3401;0.5586;0;0.0087;0.5172;0.0027;0.0058;0.5172;0.0038
0;0.2392;0.5583;0;0.3553;0.5554;0.0001;0.4054;0.5588;0;0;0.5174;0.0027;0;0.5174;0.0038
0;0.3428;0.5588;0;0.3029;0.5564;0.0001;0.3434;0.5588;0;0.0053;0.5175;0.0027;0.0053;0.5175;0.0038
0;0.2558;0.5582;0;0.2395;0.5347;0.0003;0.4222;0.5587;0;0.0552;0.5174;0.0027;0.0271;0.5174;0.0039
0;0.2186;0.5585;0;0.3204;0.5509;0.0008;0.3823;0.5589;0;0.052;0.5175;0.0027;0.0266;0.5175;0.0038
0;0.2244;0.5581;0;0.3271;0.5509;0.0007;0.4369;0.5587;0;0.0078;0.5173;0.0027;0.0036;0.5173;0.0038
0;0.231;0.5579;0;0.2803;0.5493;0.0011;0.4357;0.5585;0;0.0346;0.5172;0.0027;0.0181;0.5172;0.0038
0;0.2301;0.558;0;0.3227;0.5492;0.001;0.4178;0.5584;0;0.0191;0.5171;0.0027;0.0101;0.5171;0.0038
0;0.232;0.5585;0;0.3363;0.5512;0.0007;0.3833;0.5589;0;0.0332;0.5175;0.0027;0.0148;0.5175;0.0038
0;0.3523;0.5585;0;0.2971;0.5532;0.0004;0.3505;0.5585;0;0;0.5172;0.0027;0;0.5172;0.0039
0;0.2362;0.5582;0;0.3477;0.5566;0.0001;0.416;0.5587;0;0;0.5174;0.0027;0;0.5174;0.0038
0;0.2638;0.5582;0;0.2955;0.5496;0.0011;0.4137;0.5587;0;0.0185;0.5173;0.0027;0.0083;0.5173;0.0038
0;0.252;0.5582;0;0.3476;0.5519;0.0005;0.4002;0.5585;0;0;0.5172;0.0027;0;0.5172;0.0038
0;0.2367;0.558;0;0.309;0.5487;0.0012;0.4426;0.5585;0;0.0078;0.5172;0.0027;0.0036;0.5172;0.0038
0;0.4074;0.5584;0;0.1777;0.5384;0.0004;0.4147;0.5584;0;0;0.5171;0.0027;0;0.5171;0.0038
0;0.2254;0.5583;0;0.3339;0.5515;0.0006;0.4208;0.5586;0;0.0131;0.5173;0.0027;0.0065;0.5173;0.0039
0;0.2556;0.5582;0;0.3467;0.5504;0.0007;0.3976;0.5586;0;0;0.5173;0.0027;0;0.5173;0.0039
0;0.2382;0.558;0;0.3444;0.5509;0.0006;0.4173;0.5585;0;0;0.5172;0.0027;0;0.5172;0.0038
0;0.2419;0.5583;0;0.3448;0.5499;0.0009;0.4041;0.5587;0;0.0054;0.5174;0.0027;0.0036;0.5174;0.0038
0;0.2272;0.5582;0;0.3153;0.5481;0.0014;0.418;0.5587;0;0.0258;0.5174;0.0027;0.0135;0.5174;0.0038
0;0.2457;0.5585;0;0.3399;0.5487;0.0012;0.3742;0.5589;0;0.0261;0.5175;0.0027;0.0139;0.5175;0.0039
0;0.2599;0.5583;0;0.3187;0.5503;0.0008;0.3815;0.5588;0;0.0265;0.5174;0.0027;0.0132;0.5174;0.0039
0;0.2269;0.5582;0;0.3319;0.552;0.0005;0.3879;0.5585;0;0.0375;0.5172;0.0027;0.0155;0.5172;0.0038
0;0.2267;0.558;0;0.3465;0.5496;0.0008;0.4266;0.5585;0;0;0.5172;0.0027;0;0.5172;0.0039
0;0.2388;0.5583;0;0.3427;0.552;0.0006;0.4063;0.5587;0;0.0066;0.5174;0.0027;0.0054;0.5174;0.0039
0;0.2309;0.5581;0;0.3538;0.5503;0.0008;0.4152;0.5585;0;0;0.5172;0.0027;0;0.5172;0.0039
1;0.9149;0.6079;0.0048;0;0.0993;0.0835;0.085;0.5893;0.0114;0;0.2205;0.0662;0;0;0.0645
1;0.9963;0.6066;0.0043;0;0.4989;0.0191;0.0036;0.5537;0.0122;0;0.178;0.0685;0;0;0.0695
1;0.7062;0.5639;0.005;0;0.4745;0.0213;0.2937;0.5704;0.0097;0;0.1821;0.0639;0;0;0.0722
1;0.8347;0.5962;0.0046;0;0.4198;0.0249;0.1652;0.5776;0.0107;0;0.1916;0.0687;0;0;0.0671
1;0.8446;0.5856;0.0051;0;0.1011;0.083;0.1553;0.5708;0.0136;0;0.2035;0.0646;0;0;0.0681
1;0.9248;0.6064;0.004;0;0.3253;0.0257;0.0751;0.59;0.0098;0;0.2115;0.0642;0;0;0.06
1;0.9929;0.6203;0.004;0;0.0912;0.067;0.007;0.5855;0.011;0;0.2433;0.0595;0;0.0034;0.0613
1;0.9629;0.6084;0.0043;0;0.0856;0.076;0.037;0.5692;0.0121;0;0.2088;0.0579;0;0;0.0658
1;0.9483;0.5929;0.0041;0;0.0732;0.0868;0.0516;0.5669;0.013;0;0.1771;0.0685;0;0;0.069
1;0.883;0.5871;0.0047;0.0241;0.5389;0.0173;0.0927;0.5703;0.0102;0;0.1887;0.0772;0;0;0.0823
1;0.5315;0.6028;0.0045;0.4275;0.5791;0.0185;0.0408;0.5855;0.0101;0;0.2359;0.0561;0;0.0021;0.0625
1;0.9303;0.5904;0.0046;0;0.4119;0.0238;0.0696;0.5627;0.0124;0;0.209;0.0635;0;0.0004;0.0645
1;0.7601;0.5785;0.0044;0;0.0701;0.0808;0.2398;0.5779;0.011;0;0.1821;0.0738;0;0;0.0715
1;0.8122;0.6002;0.0048;0;0.4825;0.0189;0.1877;0.5891;0.0107;0;0.2121;0.0675;0;0;0.0673
1;0.9589;0.5925;0.0047;0;0.493;0.0212;0.041;0.5664;0.0107;0;0.2055;0.0691;0;0;0.0679
1;0.9863;0.6012;0.0041;0;0.08;0.0798;0.0136;0.5673;0.0118;0;0.1852;0.0623;0;0;0.0654
1;0.9962;0.6177;0.0042;0;0.1063;0.0647;0.0037;0.5755;0.0114;0;0.2161;0.059;0;0;0.0683
1;0.887;0.591;0.0047;0;0.4871;0.0251;0.1129;0.5744;0.0096;0;0.1858;0.0657;0;0;0.0708
1;0.8515;0.6147;0.0041;0.0156;0.555;0.0203;0.1328;0.6008;0.0103;0;0.2199;0.0655;0;0;0.0696
1;0.8992;0.6203;0.0044;0;0.472;0.0259;0.1007;0.6027;0.0109;0;0.2392;0.0632;0;0;0.0604
1;0.944;0.5811;0.0044;0;0.4496;0.0245;0.056;0.5601;0.0115;0;0.2152;0.0724;0;0;0.072
1;0.9453;0.5962;0.0043;0;0.4664;0.028;0.0546;0.5736;0.0108;0;0.2127;0.0647;0;0;0.0658
1;0.9641;0.6069;0.0045;0;0.5163;0.0277;0.0358;0.5738;0.0114;0;0.2038;0.0661;0;0;0.0698
1;0.8348;0.5803;0.0047;0;0.5208;0.0217;0.1651;0.5654;0.0098;0;0.1926;0.0657;0;0;0.0679
1;0.8812;0.6065;0.0047;0.0957;0.5493;0.024;0.0229;0.5735;0.0116;0;0.1906;0.0674;0;0;0.0691
1;0.4958;0.5775;0.0046;0.4049;0.5306;0.0282;0.0991;0.5639;0.0096;0;0.1851;0.073;0;0;0.0677
1;0.7783;0.5834;0.005;0;0.0731;0.0884;0.2216;0.5775;0.0119;0;0.1888;0.0704;0;0;0.0713
1;0.7134;0.5772;0.0047;0;0.4883;0.0244;0.2865;0.5738;0.0087;0;0.2181;0.0641;0;0;0.0688
1;0.9609;0.6027;0.0049;0;0.457;0.0265;0.039;0.577;0.0114;0;0.1972;0.0731;0;0;0.0659
1;0.4456;0.5959;0.0052;0.5398;0.5728;0.0209;0.0144;0.5637;0.0134;0;0.212;0.0588;0;0;0.0627
2;0.3663;0.5812;0.0007;0.3165;0.5804;0.0007;0.0822;0.5799;0.0011;0.1165;0.5413;0.0059;0.1183;0.5413;0.0059
2;0.3384;0.5808;0.0007;0.3275;0.5778;0.001;0.1087;0.5803;0.0009;0.1106;0.5414;0.0059;0.1145;0.5414;0.0059
