Dataset;ContrACII;HVACII;GDACII;ContrAC;HVAC;GDAC;ContrA;HVA;GDA;ContrI;HVI;GDI;Contr;HV;GD
0;0.2633;0.5569;0.001;0.3679;0.5562;0.0011;0.358;0.5572;0.0009;0.0085;0.5171;0.0035;0.0021;0.5171;0.0078
0;0.2516;0.5566;0.001;0.397;0.5573;0.0009;0.3512;0.5571;0.001;0;0.5173;0.0035;0;0.5173;0.0079
0;0.2695;0.557;0.001;0.3624;0.5573;0.0009;0.3582;0.5575;0.0009;0.0083;0.5175;0.0035;0.0013;0.5175;0.008
0;0.2577;0.5574;0.0011;0.3643;0.5575;0.0009;0.3326;0.5575;0.0009;0.0371;0.5175;0.0035;0.008;0.5175;0.0078
0;0.3157;0.557;0.001;0.2451;0.537;0.0014;0.4252;0.5575;0.001;0.0096;0.5175;0.0035;0.0041;0.5175;0.008
0;0.2778;0.5571;0.001;0.3417;0.5572;0.001;0.3471;0.5571;0.0009;0.0278;0.5173;0.0035;0.0054;0.5173;0.0078
0;0.2415;0.5568;0.0009;0.3866;0.5572;0.001;0.3549;0.5573;0.001;0.0126;0.5173;0.0035;0.0042;0.5173;0.008
0;0.256;0.5571;0.0009;0.378;0.5574;0.0009;0.3609;0.5572;0.001;0.0042;0.5174;0.0035;0.0007;0.5174;0.0078
0;0.2879;0.557;0.001;0.3635;0.5576;0.0009;0.3362;0.5575;0.001;0.0088;0.5175;0.0035;0.0034;0.5175;0.0078
0;0.2611;0.557;0.001;0.3683;0.5576;0.0009;0.3614;0.5576;0.001;0.0062;0.5175;0.0035;0.0027;0.5175;0.0078
0;0.2775;0.5568;0.001;0.3736;0.5572;0.001;0.3487;0.5573;0.0009;0;0.5173;0.0035;0;0.5173;0.0078
0;0.2732;0.5569;0.001;0.3497;0.5575;0.0009;0.3377;0.5573;0.001;0.0312;0.5174;0.0035;0.0079;0.5174;0.0077
0;0.2368;0.5569;0.001;0.3942;0.5576;0.0009;0.3612;0.5573;0.001;0.0049;0.5175;0.0035;0.0028;0.5175;0.0076
0;0.2609;0.5571;0.001;0.3698;0.5575;0.001;0.3511;0.5576;0.001;0.0159;0.5175;0.0035;0.002;0.5175;0.0079
0;0.2483;0.557;0.0011;0.3839;0.5572;0.0009;0.3677;0.5573;0.001;0;0.5174;0.0035;0;0.5174;0.0079
