Dataset;ContrAvs;HVAvs;GDAvs;ContrAvc;HVAvc;GDAvc;ContrAvsc;HVAvsc;GDAvsc;ContrAs;HVAs;GDAs;ContrAc;HVAc;GDAc;ContrAsc;HVAsc;GDAsc;ContrRandom;HVRandom;GDRandom
0;0.2085;0.5574;0.0009;0.2025;0.5564;0.0011;0.1379;0.5571;0.0011;0.2074;0.557;0.001;0.1158;0.5568;0.001;0.1276;0.557;0.0011;0.0013;0.3991;0.0272
0;0.2157;0.5573;0.0009;0.2041;0.5572;0.0009;0.1128;0.5565;0.001;0.1793;0.5571;0.001;0.1455;0.5568;0.001;0.1424;0.5569;0.0011;0;0.4047;0.0333
0;0.2153;0.5572;0.0009;0.2126;0.5568;0.0009;0.1446;0.5566;0.001;0.1897;0.5571;0.0009;0.1158;0.5567;0.001;0.1218;0.5567;0.0011;0;0.3869;0.0284
0;0.2156;0.5574;0.001;0.1923;0.5574;0.0009;0.1273;0.5572;0.0011;0.1933;0.5576;0.001;0.1273;0.5568;0.001;0.1439;0.5571;0.0011;0.0013;0.4165;0.0375
0;0.2245;0.5572;0.0009;0.1154;0.5368;0.0014;0.1399;0.5568;0.001;0.2261;0.5574;0.0009;0.1389;0.5568;0.001;0.1548;0.5573;0.0009;0.0013;0.4106;0.028
0;0.204;0.5571;0.001;0.1928;0.5571;0.001;0.1367;0.557;0.001;0.2008;0.5573;0.001;0.1234;0.5568;0.001;0.142;0.5571;0.001;0;0.387;0.029
0;0.2027;0.5573;0.001;0.2022;0.5571;0.001;0.1289;0.5567;0.0009;0.1855;0.5574;0.0009;0.138;0.5568;0.0012;0.1425;0.5571;0.001;0;0.3874;0.0354
0;0.2144;0.5572;0.001;0.2027;0.5573;0.0009;0.1224;0.557;0.0009;0.1899;0.5572;0.0009;0.1362;0.557;0.001;0.1341;0.5571;0.001;0;0.405;0.0257
0;0.1954;0.5573;0.001;0.2045;0.5574;0.0009;0.15;0.5568;0.0011;0.1933;0.5576;0.0009;0.126;0.5569;0.0009;0.1306;0.5572;0.001;0;0.3929;0.031
0;0.2066;0.5573;0.0009;0.2028;0.5573;0.0009;0.1284;0.5567;0.001;0.19;0.5572;0.001;0.1274;0.5567;0.001;0.1445;0.5571;0.001;0;0.3926;0.0245
0;0.1902;0.5572;0.0009;0.2095;0.5571;0.001;0.1461;0.5568;0.001;0.1864;0.5574;0.0009;0.137;0.557;0.0011;0.1305;0.5571;0.001;0;0.3929;0.0284
0;0.1951;0.5572;0.001;0.2077;0.5572;0.0009;0.1398;0.5566;0.001;0.1931;0.557;0.0009;0.1383;0.5569;0.001;0.1257;0.557;0.001;0.0013;0.4165;0.0266
0;0.1947;0.5569;0.001;0.2213;0.5573;0.0009;0.1351;0.5566;0.001;0.1894;0.5572;0.001;0.1255;0.5568;0.001;0.1335;0.5566;0.0011;0;0.399;0.0236
0;0.2042;0.5569;0.0009;0.1989;0.5572;0.001;0.124;0.5568;0.001;0.1871;0.5573;0.001;0.1294;0.5571;0.0009;0.1561;0.5572;0.0009;0;0.4105;0.0314
0;0.1961;0.5574;0.0009;0.2314;0.557;0.0009;0.1256;0.5568;0.0011;0.1918;0.5571;0.001;0.1223;0.5569;0.001;0.1325;0.5569;0.001;0;0.3986;0.0283
0;0.2111;0.5571;0.0009;0.1942;0.557;0.001;0.1473;0.5568;0.0011;0.1969;0.5571;0.0009;0.1103;0.5567;0.0011;0.1399;0.557;0.0011;0;0.4107;0.031
0;0.2032;0.5571;0.0009;0.1948;0.5573;0.001;0.1483;0.5571;0.001;0.1869;0.5569;0.001;0.1272;0.5569;0.0009;0.1393;0.557;0.0011;0;0.4165;0.0248
0;0.2045;0.5573;0.0008;0.2024;0.5572;0.001;0.1375;0.5571;0.001;0.1876;0.5574;0.001;0.1207;0.5566;0.001;0.147;0.5573;0.001;0;0.4105;0.0332
0;0.2033;0.5573;0.001;0.2022;0.5573;0.0009;0.1366;0.557;0.001;0.2043;0.5571;0.0009;0.1387;0.557;0.001;0.1147;0.557;0.0011;0;0.3983;0.0247
0;0.1943;0.557;0.0009;0.2123;0.5572;0.0008;0.1388;0.5568;0.001;0.185;0.5573;0.001;0.1366;0.5567;0.0009;0.1328;0.557;0.001;0;0.3927;0.026
0;0.1987;0.5571;0.001;0.2157;0.5571;0.0009;0.1402;0.5571;0.001;0.1865;0.5573;0.0009;0.1137;0.5568;0.001;0.145;0.5569;0.0009;0;0.3988;0.0263
0;0.2255;0.5572;0.0009;0.2148;0.5573;0.0009;0.1261;0.557;0.0009;0.1929;0.5572;0.001;0.1143;0.557;0.001;0.1261;0.5568;0.001;0;0.4056;0.0263
0;0.2092;0.5571;0.001;0.2043;0.557;0.0009;0.1284;0.5568;0.001;0.1888;0.557;0.001;0.1294;0.5568;0.001;0.1396;0.5566;0.001;0.0013;0.3925;0.0315
0;0.2035;0.5572;0.001;0.1936;0.5574;0.0009;0.133;0.5572;0.0009;0.1936;0.5572;0.001;0.132;0.5568;0.0011;0.1439;0.5571;0.001;0;0.3866;0.0282
0;0.2204;0.5572;0.001;0.1201;0.5385;0.0011;0.1362;0.5566;0.001;0.2147;0.5573;0.001;0.1445;0.5567;0.0009;0.1638;0.557;0.001;0;0.4045;0.0323
0;0.2114;0.5572;0.0009;0.2136;0.5571;0.0009;0.1158;0.5568;0.001;0.188;0.5572;0.001;0.1216;0.5565;0.0011;0.1493;0.5572;0.001;0;0.3991;0.0292
0;0.2058;0.5572;0.0009;0.2022;0.5573;0.001;0.1308;0.5569;0.0011;0.1898;0.5571;0.001;0.1365;0.5571;0.001;0.1345;0.557;0.0011;0;0.3751;0.0276
0;0.2024;0.5572;0.001;0.2201;0.5571;0.001;0.1231;0.5569;0.0009;0.1858;0.5572;0.0009;0.129;0.5568;0.001;0.1392;0.557;0.0009;0;0.4346;0.0295
0;0.2151;0.5572;0.001;0.2027;0.5569;0.001;0.1241;0.5568;0.001;0.2048;0.5571;0.0009;0.1176;0.5566;0.0011;0.1355;0.5568;0.001;0;0.4048;0.0292
